date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:57:40	9875/9875	---M-Z	200	added ('OK')	text/html	etag:W/%22624f7367-2693%22	https://0xcub3.github.io/	C:/My%20Web%20Sites/Website/0xcub3.github.io/index.html	(from )
19:57:41	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226272da93-247b%22	https://0xcub3.github.io/robots.txt		(from )
19:57:41	8508/8508	---M-Z	200	added ('OK')	text/css	etag:W/%22624f7366-213c%22	https://0xcub3.github.io/assets/css/styles.css	C:/My%20Web%20Sites/Website/0xcub3.github.io/assets/css/styles.css	(from https://0xcub3.github.io/)
19:57:41	61773/61773	---M-Z	200	added ('OK')	text/css	etag:W/%22f14d-ew+w1aCmsH55tnLawpdwjvP5fa0%22	https://cdn.jsdelivr.net/npm/boxicons@2.0.5/css/boxicons.min.css	C:/My%20Web%20Sites/Website/cdn.jsdelivr.net/npm/boxicons@2.0.5/css/boxicons.min.css	(from https://0xcub3.github.io/)
19:57:41	277241/277241	---M--	200	added ('OK')	image/png	etag:%22624f7366-43af9%22	https://0xcub3.github.io/assets/img/CUBE.png	C:/My%20Web%20Sites/Website/0xcub3.github.io/assets/img/CUBE.png	(from https://0xcub3.github.io/)
19:57:41	313105/313105	---M--	200	added ('OK')	image/png	etag:%22624f7366-4c711%22	https://0xcub3.github.io/assets/img/CUBE_round.png	C:/My%20Web%20Sites/Website/0xcub3.github.io/assets/img/CUBE_round.png	(from https://0xcub3.github.io/)
19:57:42	19804/19804	---M--	200	added ('OK')	image/jpeg	etag:%22624f7367-4d5c%22	https://0xcub3.github.io/assets/img/work3.jpg	C:/My%20Web%20Sites/Website/0xcub3.github.io/assets/img/work3.jpg	(from https://0xcub3.github.io/)
19:57:42	26470/26470	---M--	200	added ('OK')	image/jpeg	etag:%22624f7366-6766%22	https://0xcub3.github.io/assets/img/work1.jpg	C:/My%20Web%20Sites/Website/0xcub3.github.io/assets/img/work1.jpg	(from https://0xcub3.github.io/)
19:57:42	20346/20346	---M--	200	added ('OK')	image/jpeg	etag:%22624f7366-4f7a%22	https://0xcub3.github.io/assets/img/work2.jpg	C:/My%20Web%20Sites/Website/0xcub3.github.io/assets/img/work2.jpg	(from https://0xcub3.github.io/)
19:57:42	17884/17884	---M--	200	added ('OK')	image/jpeg	etag:%22624f7367-45dc%22	https://0xcub3.github.io/assets/img/work4.jpg	C:/My%20Web%20Sites/Website/0xcub3.github.io/assets/img/work4.jpg	(from https://0xcub3.github.io/)
19:57:43	21171/21171	---M--	200	added ('OK')	image/jpeg	etag:%22624f7367-52b3%22	https://0xcub3.github.io/assets/img/work5.jpg	C:/My%20Web%20Sites/Website/0xcub3.github.io/assets/img/work5.jpg	(from https://0xcub3.github.io/)
19:57:43	17868/17868	---M--	200	added ('OK')	image/jpeg	etag:%22624f7367-45cc%22	https://0xcub3.github.io/assets/img/work6.jpg	C:/My%20Web%20Sites/Website/0xcub3.github.io/assets/img/work6.jpg	(from https://0xcub3.github.io/)
19:57:43	1952/1952	---M-Z	200	added ('OK')	application/javascript	etag:W/%22624f7367-7a0%22	https://0xcub3.github.io/assets/js/main.js	C:/My%20Web%20Sites/Website/0xcub3.github.io/assets/js/main.js	(from https://0xcub3.github.io/)
